 Rows: Electric field / N (Td)                                         
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000    

 Energy mobility *N (1/m/V/s)                                    
  0.3409E+26  0.3635E+26  0.3407E+26  0.3170E+26
  0.1298E+25  0.1807E+25  0.2411E+25  0.3501E+25
  0.9868E+24  0.1640E+25  0.2283E+25  0.3732E+25
  0.8763E+24  0.1598E+25  0.2265E+25  0.3902E+25
  0.8280E+24  0.1568E+25  0.2256E+25  0.4061E+25
  0.7994E+24  0.1543E+25  0.2248E+25  0.4217E+25
  0.7868E+24  0.1520E+25  0.2240E+25  0.4370E+25
  0.7877E+24  0.1499E+25  0.2233E+25  0.4524E+25
  0.8003E+24  0.1480E+25  0.2225E+25  0.4675E+25
  0.8252E+24  0.1461E+25  0.2217E+25  0.4825E+25
  0.8650E+24  0.1444E+25  0.2209E+25  0.4968E+25
  0.9247E+24  0.1429E+25  0.2202E+25  0.5110E+25
  0.1005E+25  0.1414E+25  0.2194E+25  0.5246E+25
  0.1097E+25  0.1400E+25  0.2187E+25  0.5374E+25
  0.1182E+25  0.1388E+25  0.2180E+25  0.5496E+25
  0.1239E+25  0.1376E+25  0.2173E+25  0.5613E+25
  0.1260E+25  0.1364E+25  0.2166E+25  0.5723E+25
  0.1247E+25  0.1354E+25  0.2160E+25  0.5823E+25
  0.1210E+25  0.1344E+25  0.2154E+25  0.5913E+25
  0.1157E+25  0.1335E+25  0.2148E+25  0.6000E+25
  0.1095E+25  0.1327E+25  0.2143E+25  0.6078E+25
  0.1031E+25  0.1318E+25  0.2137E+25  0.6147E+25
